,utc,Location,Latitude,Longitude,PM2.5 (min),PM10 (min),Total (min),PM2.5 (max),PM10 (max),Total (max),PM2.5 (avg),PM10 (avg),Total (avg)
0,2021-01-01,London,51.50853,-0.12574,16.0,18.0,34.0,21.0,23.0,44.0,19.307692307692307,21.384615384615383,40.69230769230769
1,2021-01-02,London,51.50853,-0.12574,19.0,23.0,42.0,20.0,23.0,43.0,19.5,23.0,42.5
5,2021-01-06,London,51.50853,-0.12574,6.0,10.0,16.0,6.0,11.0,17.0,6.0,10.235294117647058,16.235294117647058
6,2021-01-07,London,51.50853,-0.12574,6.0,11.0,17.0,17.0,20.0,37.0,12.0,16.45,28.45
7,2021-01-08,London,51.50853,-0.12574,17.0,20.0,37.0,23.0,26.0,49.0,21.39130434782609,23.65217391304348,45.04347826086956
8,2021-01-09,London,51.50853,-0.12574,15.0,18.0,33.0,23.0,26.0,49.0,18.130434782608692,20.65217391304348,38.78260869565217
9,2021-01-10,London,51.50853,-0.12574,18.0,18.0,36.0,20.0,22.0,42.0,19.272727272727277,20.363636363636363,39.63636363636363
10,2021-01-11,London,51.50853,-0.12574,14.0,15.0,29.0,17.0,18.0,35.0,15.833333333333334,16.38888888888889,32.22222222222222
11,2021-01-12,London,51.50853,-0.12574,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
14,2021-01-15,London,51.50853,-0.12574,8.0,12.0,20.0,14.0,21.0,35.0,10.75,16.5625,27.3125
15,2021-01-16,London,51.50853,-0.12574,7.0,10.0,17.0,15.0,22.0,37.0,11.826086956521738,17.0,28.82608695652174
16,2021-01-17,London,51.50853,-0.12574,6.0,10.0,17.0,7.0,13.0,20.0,6.285714285714286,11.666666666666666,17.952380952380953
17,2021-01-18,London,51.50853,-0.12574,6.0,13.0,19.0,8.0,15.0,23.0,6.928571428571429,14.5,21.428571428571427
18,2021-01-19,London,51.50853,-0.12574,3.0,6.0,9.0,6.0,12.0,18.0,4.173913043478261,8.08695652173913,12.26086956521739
19,2021-01-20,London,51.50853,-0.12574,3.0,6.0,9.0,6.0,8.0,14.0,4.0,7.090909090909091,11.090909090909092
20,2021-01-21,London,51.50853,-0.12574,4.0,8.0,12.0,6.0,9.0,15.0,4.875,8.625,13.5
21,2021-01-22,London,51.50853,-0.12574,7.0,13.0,20.0,8.0,14.0,22.0,7.166666666666667,13.666666666666666,20.83333333333333
